URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
19,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,29,19,0.20833332899305565,0.05139186290000871,17.302083333333332,0.7796508127633955,7.232693658438691,17.302083333333332,1295,919,2758,17,0.0006020469596628537
20,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,28,25,0.056603772516909956,0.049812030028372145,21.8625,0.8090337335620355,9.068613493424815,21.8625,1415,1009,2975,16,0.0005717552887364208
21,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,27,19,0.17391303969754263,0.060766182218274525,20.138461538461538,0.8158899923605806,8.381740612328848,20.138461538461538,1068,722,2174,21,0.0007639419404125286
22,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,11,4,0.46666663555555765,0.03537735840712887,16.17391304347826,0.8279569892473119,6.80074801309023,16.17391304347826,616,419,1257,7,0.0013440860215053765
23,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,46,26,0.27777777391975317,0.07766990282883506,21.514285714285716,0.8167330677290837,8.93240751280592,21.514285714285716,1230,865,2571,18,0.0006640106241699867
24,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,12,6,0.3333333148148158,0.04035874430412838,19.81081081081081,0.82537517053206,8.254474392537148,19.81081081081081,605,420,1168,2,0.001364256480218281
25,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,20,31,-0.21568627028066137,0.04015748028334056,26.390243902439025,0.7791127541589649,10.867742662639197,26.390243902439025,1686,1210,3693,11,0.0004621072088724584
26,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,16,35,-0.37254901230296056,0.03825956486252095,18.895238095238096,0.8321572580645161,7.890958141321045,18.895238095238096,1651,1208,3459,1,0.0005040322580645161
27,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,17,21,-0.10526315512465383,0.052704576903322364,20.491525423728813,0.8296112489660876,8.528454669077961,20.491525423728813,1003,708,2255,10,0.0008271298593879239
28,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,15,20,-0.14285713877551032,0.04331683162955838,14.903614457831326,0.8229587712206953,6.290629291620809,14.903614457831326,1018,768,2086,6,0.0008084074373484236
29,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,19,17,0.05555555401234573,0.039344262252082776,25.08823529411765,0.7919109026963658,10.352058478725606,25.08823529411765,1351,878,2798,33,0.0005861664712778429
30,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,30,14,0.36363635537190103,0.043392504888173075,19.642857142857142,0.793939393939394,8.174718614718614,19.642857142857142,1310,968,2834,11,0.0006060606060606061
31,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,13,2,0.7333332844444478,0.048231511098934046,22.26086956521739,0.794921875,9.222316576086957,22.26086956521739,407,309,971,0,0.001953125
32,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,37,27,0.15624999755859378,0.0634291376972952,181.6,0.7868942731277533,72.9547577092511,181.6,1429,955,2951,15,0.0005506607929515419
33,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,11,0,0.9999999090909174,0.019469026514214113,17.214285714285715,0.8298755186721992,7.217664493183166,17.214285714285715,800,551,1709,0,0.001037344398340249
34,https://insights.blackcoffer.com/evolution-of-advertising-industry/,6,3,0.33333329629630043,0.020979020930118834,17.875,0.7846153846153846,7.463846153846155,17.875,561,422,1334,1,0.0013986013986013986
35,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,2,4,-0.33333327777778704,0.030150753617332895,25.23076923076923,0.875,10.442307692307693,25.23076923076923,287,197,587,2,0.003048780487804878
36,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,14,34,-0.4166666579861113,0.0780487803608963,19.452830188679247,0.8225024248302619,8.110133045403805,19.452830188679247,848,589,1759,31,0.0009699321047526673
37,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,5,38,-0.7674418426176316,0.05395232113682268,24.75,0.8333333333333334,10.233333333333334,24.75,1155,782,2355,2,0.0007215007215007215
38,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,6,8,-0.14285713265306196,0.03406326025775362,24.4,0.8087431693989071,10.083497267759563,24.4,592,411,1224,3,0.001366120218579235
39,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,34,40,-0.08108107998539081,0.07177497568208052,17.47747747747748,0.7984536082474227,7.310372434289961,17.47747747747748,1549,996,3220,10,0.0005154639175257732
40,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,17,1,0.8888888395061756,0.044665012296116594,15.477272727272727,0.8046989720998532,6.512788679749033,15.477272727272727,548,395,1159,4,0.0014684287812041115
41,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,0,0.9999997500000625,0.016129032193028095,22.647058823529413,0.8571428571428571,9.401680672268908,22.647058823529413,330,236,644,0,0.0025974025974025974
42,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,12,10,0.09090908677685969,0.02795425663538214,23.2,0.8299373040752351,9.611974921630093,23.2,1059,759,2079,4,0.0007836990595611285
43,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,11,4,0.46666663555555765,0.0375939848681855,25.833333333333332,0.8225806451612904,10.662365591397851,25.833333333333332,510,391,1172,1,0.0016129032258064516
44,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,12,6,0.3333333148148158,0.0882352936851211,14.178571428571429,0.8261964735516373,6.0019071608492265,14.178571428571429,328,199,690,0,0.0025188916876574307
45,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,2,0,0.99999950000025,0.01960784294502115,15.272727272727273,0.7678571428571429,6.416233766233766,15.272727272727273,129,102,320,1,0.005952380952380952
46,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,14,10,0.1666666597222225,0.050739957609429266,14.482142857142858,0.8039457459926017,6.114435441254184,14.482142857142858,652,430,1292,19,0.0012330456226880395
47,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,4,0,0.9999997500000625,0.03809523773242631,18.6,0.8279569892473119,7.771182795698926,18.6,154,105,303,1,0.005376344086021506
48,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,17,21,-0.10526315512465383,0.05219780212610192,19.129032258064516,0.8313659359190556,7.984159277593429,19.129032258064516,986,716,2295,0,0.0008431703204047217
49,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,3,16,-0.684210490304711,0.05974842748506784,17.25,0.8315217391304348,7.232608695652174,17.25,459,314,882,10,0.0018115942028985507
50,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,14,19,-0.15151514692378343,0.05221518979079875,20.446428571428573,0.7895196506550218,8.49437928883344,20.446428571428573,904,618,1865,7,0.0008733624454148472
51,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,18,37,-0.34545453917355384,0.05303760843487212,23.053333333333335,0.7975708502024291,9.540361673414306,23.053333333333335,1379,994,3050,16,0.000578368999421631
52,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,20,16,0.11111110802469146,0.038751345491118035,25.142857142857142,0.8068181818181818,10.379870129870131,25.142857142857142,1420,907,2807,19,0.0005681818181818182
53,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,11,17,-0.21428570663265334,0.03229527101234686,17.63855421686747,0.8101092896174863,7.379465402593983,17.63855421686747,1186,838,2346,18,0.0006830601092896175
54,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,14,5,0.47368418559556913,0.044705882247750864,14.126984126984127,0.797752808988764,5.969894774389157,14.126984126984127,710,407,1372,1,0.0011235955056179776
55,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,22,6,0.5714285510204089,0.038043478209180054,21.238805970149254,0.7730147575544624,8.804728291081487,21.238805970149254,1100,686,2177,4,0.0007027406886858749
56,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,13,4,0.5294117335640156,0.06538461513313609,29.75,0.7626050420168067,12.205042016806724,29.75,363,244,781,8,0.0021008403361344537
57,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,26,13,0.33333332478632505,0.039473684170573196,22.84285714285714,0.8017510944340213,9.457843294916465,22.84285714285714,1282,942,2822,8,0.0006253908692933083
58,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,10,55,-0.6923076816568049,0.11284722202630691,12.948051948051948,0.8044132397191575,5.500986075108442,12.948051948051948,802,526,1592,13,0.0010030090270812437
59,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,36,16,0.3846153772189351,0.08373590968802591,14.538461538461538,0.8068783068783069,6.138135938135939,14.538461538461538,915,587,1686,5,0.0008818342151675485
60,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,8,50,-0.7241379185493463,0.0776439088652692,21.660714285714285,0.8582028029678483,9.007566835472854,21.660714285714285,1041,731,1895,0,0.0008244023083264633
61,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,15,12,0.11111110699588492,0.03143189751870559,17.597560975609756,0.8045738045738046,7.360853912073425,17.597560975609756,1161,843,2521,8,0.000693000693000693
62,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,10,62,-0.7222222121913582,0.11822660079108932,13.1,0.808206106870229,5.563282442748092,13.1,847,557,1688,15,0.0009541984732824427
63,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,35,46,-0.1358024674592288,0.07685009480374753,26.486486486486488,0.7948979591836735,10.912553778268064,26.486486486486488,1558,1023,3076,5,0.0005102040816326531
64,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,5,9,-0.2857142653061239,0.032036613199000884,28.555555555555557,0.8261997405966277,11.752702118460874,28.555555555555557,637,436,1300,1,0.0012970168612191958
65,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,5,24,-0.655172391200952,0.04055944050271407,29.146341463414632,0.8292887029288702,11.990252066537401,29.146341463414632,991,705,2131,1,0.0008368200836820083
66,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,8,46,-0.7037036906721539,0.05378486050419835,21.78481012658228,0.8309122603137711,9.04628895475842,21.78481012658228,1430,974,2891,5,0.0005810575246949448
67,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,5,121,-0.9206349133282944,0.053480475359303704,17.71938775510204,0.8203282464727901,7.415886400629933,17.71938775510204,2849,2206,5142,0,0.00028793550244745177
68,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,7,31,-0.6315789307479229,0.03873598365062591,21.11904761904762,0.7998872604284104,8.767573951790412,21.11904761904762,1419,957,3005,10,0.0005636978579481398
69,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,13,42,-0.5272727176859506,0.05771248682296696,25.2,0.833994708994709,10.413597883597884,25.2,1261,947,2778,1,0.0006613756613756613
70,https://insights.blackcoffer.com/human-rights-outlook/,1,1,0.0,0.02061855648846849,18.77777777777778,0.8106508875739645,7.835371466140697,18.77777777777778,137,93,269,2,0.005917159763313609
71,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,14,1,0.8666666088888928,0.0239999999616,20.291666666666668,0.837782340862423,8.451779603011635,20.291666666666668,816,577,1557,2,0.001026694045174538
72,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,25,29,-0.07407407270233199,0.05714285708238851,15.181818181818182,0.8372346216657593,6.407621121393577,15.181818181818182,1538,931,3000,6,0.0005443658138268917
73,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,17,14,0.09677419042663901,0.028207461302813954,18.63157894736842,0.8254237288135593,7.782801070472792,18.63157894736842,1461,1025,2968,5,0.0005649717514124294
74,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,5,19,-0.5833333090277788,0.03749999994140625,22.851063829787233,0.8202979515828678,9.468544712548042,22.851063829787233,881,626,1754,3,0.000931098696461825
75,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,2,43,-0.9111110908641981,0.04046762586288882,28.1875,0.8165188470066519,11.60160753880266,28.1875,1473,1103,3063,1,0.0005543237250554324
76,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,3,24,-0.7777777489711944,0.04687499991861979,18.71153846153846,0.8150051387461459,7.810617440113842,18.71153846153846,793,562,1625,4,0.0010277492291880781
77,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,11,39,-0.5599999888000002,0.07692307680473373,16.472972972972972,0.8022969647251845,6.910107975079263,16.472972972972972,978,639,2011,37,0.0008203445447087777
78,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,15,25,-0.24999999375000018,0.06514657969845834,29.105263157894736,0.8128390596745028,11.967240887027696,29.105263157894736,899,609,1860,12,0.0009041591320072332
79,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,7,35,-0.6666666507936512,0.04878048774822243,21.8135593220339,0.8158508158508159,9.051764055153887,21.8135593220339,1050,819,2203,3,0.000777000777000777
80,https://insights.blackcoffer.com/travel-and-tourism-outlook/,1,1,0.0,0.0188679243503026,17.363636363636363,0.7905759162303665,7.261684911946692,17.363636363636363,151,102,283,2,0.005235602094240838
81,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,17,28,-0.2444444390123458,0.07020280800280373,18.16393442622951,0.7924187725631769,7.582541279517075,18.16393442622951,878,615,1761,13,0.0009025270758122744
82,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,6,20,-0.5384615177514801,0.06565656549076625,17.833333333333332,0.8161993769470405,7.459813084112149,17.833333333333332,524,386,1051,4,0.001557632398753894
83,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,8,44,-0.6923076789940831,0.07807807796084373,22.54,0.8074534161490683,9.338981366459628,22.54,910,658,1968,2,0.0008873114463176575
84,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,7,25,-0.5624999824218756,0.057245080398488225,27.871794871794872,0.8003679852805887,11.468865142830184,27.871794871794872,870,538,1710,6,0.0009199632014719411
85,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,3,2,0.199999960000008,0.01805054145108108,18.636363636363637,0.8414634146341463,7.791130820399113,18.636363636363637,345,271,714,0,0.0024390243902439024
86,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,8,3,0.4545454132231443,0.02956989239362932,18.235294117647058,0.8193548387096774,7.621859582542695,18.235294117647058,508,367,989,4,0.0016129032258064516
87,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,3,38,-0.8536585157644265,0.06466876961408712,31.848484848484848,0.8239771646051379,13.068984805235994,31.848484848484848,866,611,1813,3,0.0009514747859181732
88,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,7,10,-0.17647057785467188,0.047222222091049385,23.774193548387096,0.7788331071913162,9.821210662231366,23.774193548387096,574,344,1062,42,0.0013568521031207597
89,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,3,33,-0.8333333101851859,0.05405405397289181,21.8125,0.8653295128939829,9.071131805157593,21.8125,906,636,1752,0,0.0009551098376313276
90,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,10,34,-0.5454545330578515,0.07586206883472058,19.884615384615383,0.8578336557059961,8.296979616128551,19.884615384615383,887,572,1806,0,0.0009671179883945841
91,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,14,27,-0.31707316299821553,0.0654952075631067,18.90740740740741,0.8364348677766895,7.897536910073639,18.90740740740741,854,604,1790,2,0.0009794319294809011
92,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,10,39,-0.5918367226155771,0.06314432981553565,23.072727272727274,0.8219070133963751,9.55785371444946,23.072727272727274,1043,752,2130,8,0.0007880220646178094
93,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,22,50,-0.38888888348765444,0.08026755843894363,22.428571428571427,0.8006369426751593,9.291683348498635,22.428571428571427,1257,856,2551,3,0.0006369426751592356
94,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,15,45,-0.4999999916666668,0.05235602089672249,24.44,0.8188761593016912,10.103550463720678,24.44,1501,1121,2999,3,0.0005455537370430987
95,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,7,19,-0.4615384437869829,0.05327868841541252,73.66666666666667,0.7794117647058824,29.778431372549022,73.66666666666667,689,479,1257,43,0.0011312217194570137
96,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,19,75,-0.5957446745133546,0.0796610168816432,26.864864864864863,0.8148893360160966,11.071901680352385,26.864864864864863,1620,1161,3333,11,0.0005030181086519115
97,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,7,16,-0.39130433081285515,0.03453453448268088,16.0625,0.7883268482490272,6.740330739299612,16.0625,1013,656,1959,7,0.0007782101167315176
98,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,5,14,-0.47368418559556913,0.08755760328314469,21.5,0.8255813953488372,8.930232558139535,21.5,284,213,606,1,0.0029069767441860465
99,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,16,87,-0.6893203816570836,0.07640949549227781,24.15730337078652,0.846046511627907,10.001339952965772,24.15730337078652,1819,1325,3582,6,0.00046511627906976747
100,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,10,36,-0.5652173790170135,0.058375634443685744,25.140625,0.8178993163455562,10.383409726538224,25.140625,1316,762,2388,36,0.0006215040397762585
101,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,11,57,-0.6764705782871974,0.06325581389464575,20.0,0.8313953488372093,8.332558139534884,20.0,1430,1011,2827,12,0.0005813953488372093
102,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,14,48,-0.5483870879292405,0.05832549383036171,24.16,0.8123620309050773,9.988944812362032,24.16,1472,1040,2984,11,0.0005518763796909492
103,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,22,64,-0.48837208734451065,0.0673981190694372,25.807692307692307,0.8256333830104322,10.653330276281096,25.807692307692307,1662,1258,3423,8,0.0004967709885742673
104,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,23,22,0.022222221728395074,0.04293893125673766,28.246153846153845,0.8071895424836601,11.621337355455003,28.246153846153845,1482,1008,3165,2,0.0005446623093681918
105,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,5,24,-0.655172391200952,0.05858585846750332,24.91176470588235,0.807556080283353,10.287728314466282,24.91176470588235,684,477,1400,3,0.0011806375442739079
106,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,6,74,-0.8499999893750002,0.0835945662658364,22.661971830985916,0.8203853325046613,9.39294286539623,22.661971830985916,1320,931,2801,6,0.0006215040397762585
107,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,13,38,-0.49019606881968497,0.09222423129796703,16.508196721311474,0.7696127110228401,6.911123772933727,16.508196721311474,775,535,1626,5,0.0009930486593843098
108,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,0,12,-0.9999999166666736,0.022813688169555726,21.783783783783782,0.8374689826302729,9.048501106565622,21.783783783783782,675,517,1403,1,0.0012406947890818859
109,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,5,33,-0.7368420858725767,0.03345070419590607,34.64,0.7979214780600462,14.17516859122402,34.64,1382,1114,2894,2,0.0005773672055427252
110,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,33,27,0.09999999833333337,0.055045871509132226,24.814285714285713,0.8284398388025331,10.2570902212353,24.814285714285713,1439,1045,3058,0,0.0005757052389176742
111,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,9,21,-0.3999999866666671,0.03699136863502914,23.033898305084747,0.82560706401766,9.543802147640964,23.033898305084747,1122,767,2367,6,0.0007358351729212656
112,https://insights.blackcoffer.com/continued-demand-for-sustainability/,23,30,-0.13207546920612323,0.07454289722286513,23.574468085106382,0.8483754512635379,9.76913741454797,23.574468085106382,940,694,2157,0,0.0009025270758122744
113,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,3,11,-0.5714285306122479,0.06008583665199212,25.066666666666666,0.8404255319148937,10.362836879432624,25.066666666666666,316,231,716,4,0.0026595744680851063
114,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,3,0,0.9999996666667778,0.014925373060072772,21.0,0.8005952380952381,8.720238095238095,21.0,269,189,528,7,0.002976190476190476
115,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0,14,-0.9999999285714337,0.07179487142669297,19.285714285714285,0.7407407407407407,8.010582010582011,19.285714285714285,300,191,656,5,0.0024691358024691358
116,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,0,6,-0.9999998333333611,0.04255319118756602,29.625,0.8312236286919831,12.182489451476794,29.625,197,136,375,3,0.004219409282700422
117,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,3,12,-0.5999999600000027,0.10948905029570037,18.5,0.7837837837837838,7.713513513513513,18.5,203,136,447,7,0.003861003861003861
